"id","name","dept","h_index","i10index","min_year","max_year","t_publication","t_pubs_citations","highest_citations","mean_of_IF","mean_of_co_authors","num_nsf","t_deflated_nsf","num_nih","t_deflated_nih","Y05yr","KTotal","KDirect","KMediated","Chi","BetCentrality","PRCentrality","XDIndicator","SchoolRank","first_xd_year","xd_dept"
"022gx2QAAAAJ","MARCO MANGONE ","BIO",8,8,2000,2016,13,2195,1104,10.745,16.462,0,0,3,326110,2000,365,8,357,0.5,224.721243749556,0.000226725116651228,"BIO",55,NA,"BIO"
"02nHF0gAAAAJ","RAJESH PN RAO ","CS",51,117,1991,2016,166,10640,1835,4.328,3.627,13,15635109,0,0,1990,152,9,143,0.0774193548387097,3093.72771286263,0.000238795862161084,"CS",6,NA,"CS"
"02_kT4YAAAAJ","JEFF ERICKSON ","CS",32,62,1994,2016,78,3907,506,1.043,3.59,8,2659630,0,0,1990,299,15,284,0.201834862385321,4716.14843796478,0.000349704365207998,"CS",5,NA,"CS"
"03uVItYAAAAJ","COLIN MARK ORIANS ","BIO",38,73,1995,2016,75,2760,141,3.132,3.907,11,2817499,0,0,1995,72,5,67,0.0166666666666667,4741.59079572507,0.000219744791791557,"BIO",68,NA,"BIO"
"04pdXhgAAAAJ","PEIXUAN GUO ","BIO",51,146,1982,2017,177,6667,262,6.568,4.684,1,366784,54,15809067,1980,632,8,624,0.257234726688103,7636.79978846397,0.00031598956059999,"XD",42,2006,"BIO"
"04TuVhEAAAAJ","DAVID SAMUEL BINDEL ","CS",21,29,1999,2016,49,4305,2974,1.511,4.653,1,0,0,0,1995,243,8,235,0.15,957.116672054176,0.000185596065890873,"CS",6,NA,"CS"
"05cijuQAAAAJ","PHILIP LF JOHNSON ","BIO",21,28,2002,2015,25,6535,1965,18.812,17.8,4,1382894,2,8594559,2000,459,9,450,0.319727891156463,2712.4529789498,0.000263606410198113,"BIO",55,NA,"BIO"
"05UuCNQAAAAJ","JERRY M MELILLO ","BIO",123,299,1977,2016,305,56781,7713,6.872,7.718,16,15502454,0,0,1975,634,19,615,0.138429752066116,34408.5078802073,0.000589580488923644,"XD",34,1993,"XD"
"060zUaAAAAAJ","KAREN L CARLETON ","BIO",33,62,1981,2016,63,3709,635,7.089,5.651,6,1476121,0,0,1980,201,5,196,0.164893617021277,3871.74391050089,0.000207914726619961,"BIO",55,NA,"BIO"
"06hgT8gAAAAJ","TAESOO KIM ","CS",30,126,2010,2017,41,514,114,3.322,5.024,3,894034,0,0,2010,218,12,206,0.322916666666667,10503.2502322826,0.000321821430966833,"XD",9,NA,"CS"
"078_pfUAAAAJ","XIAOHUI QU ","BIO",9,9,2002,2012,9,611,288,9.898,5.444,0,0,0,0,2000,97,6,91,0.48,913.238158444973,0.000198948660643004,"BIO",26,NA,"BIO"
"07ds-DAAAAAJ","JENNIFER LYNN REXFORD ","CS",92,244,1992,2017,310,33089,5512,2.099,4.123,20,13301795,0,0,1990,890,37,853,0.125319693094629,19135.1329956055,0.000743881039886552,"CS",8,NA,"CS"
"07Z4HAQAAAAJ","VARUN CHANDOLA ","CS",16,18,2005,2016,35,4882,3687,3.25,3.971,3,1797968,0,0,2005,89,9,80,0.180327868852459,3911.39151927072,0.000245803361463455,"CS",63,NA,"CS"
"099CBXIAAAAJ","PAUL MITAARI MAGWENE ","BIO",15,17,1996,2016,21,1183,354,7.882,3.048,4,1226569,0,0,1995,71,1,70,0.222222222222222,0,0.000256410256410256,"BIO",11,NA,"BIO"
"0a2d8rQAAAAJ","JEAN-JU CHUNG ","BIO",12,12,2000,2014,10,406,130,6.815,5.1,0,0,0,0,2000,91,0,91,0.129032258064516,0,0,"BIO",7,NA,"BIO"
"0ahvXiEAAAAJ","MICHAEL P CUMMINGS ","BIO",42,63,1990,2016,68,4955,344,5.684,6.279,14,17810221,16,2853056,1990,299,11,288,0.175879396984925,13319.7747609718,0.000405307346029549,"BIO",55,NA,"BIO"
"0Bi5CMgAAAAJ","ARVIND NARAYANAN ","CS",23,33,2003,2017,43,4231,1258,2.038,3.651,3,920545,0,0,2000,180,7,173,0.125,1604.62341648606,0.000174833324191644,"CS",8,NA,"CS"
"0CAVqY4AAAAJ","CHONG HYUN SHIN ","BIO",12,12,1996,2016,13,718,204,7.18,8.385,0,0,0,0,1995,105,2,103,0.0875,3867,0.00017091904827309,"BIO",55,NA,"BIO"
"0cq9zpQAAAAJ","PAUL SAMUEL MADDOX ","BIO",41,55,1997,2016,71,5641,365,8.109,6.831,2,915560,0,0,1995,345,13,332,0.174089068825911,3739.0024768899,0.000417736334523148,"XD",26,2007,"BIO"
"0cy3s0AAAAAJ","RACHEL D GREEN ","BIO",50,96,1989,2017,109,7116,443,11.31,5.055,0,0,21,5851172,1985,352,10,342,0.119565217391304,8073.18459337333,0.000339894388360732,"BIO",5,NA,"BIO"
