"id","name","dept","h_index","i10index","min_year","max_year","t_publication","t_pubs_citations","highest_citations","mean_of_IF","mean_of_co_authors","num_nsf","t_deflated_nsf","num_nih","t_deflated_nih","Y05yr","KTotal","KDirect","KMediated","Chi","BetCentrality","PRCentrality","XDIndicator","SchoolRank","first_xd_year","xd_dept"
"eCnWWmYAAAAJ","MICHAEL D SHAPIRO ","BIO",16,20,1998,2016,24,2702,673,10.419,6.917,0,0,0,0,1995,325,7,318,0.235294117647059,7530.0272801057,0.000258567814479385,"BIO",55,NA,"BIO"
"ecPAWS8AAAAJ","SARAH A DOUGLAS ","CS",24,39,1983,2013,49,2176,616,2.734,2.776,4,1725402,0,0,1980,52,2,50,0.0555555555555556,552.219243465714,9.70900688734749e-05,"CS",63,NA,"CS"
"eCv3gnMAAAAJ","SEAN WILLIAM SMITH ","CS",43,110,1995,2016,166,5310,415,1.275,3.566,3,3772045,0,0,1990,226,8,218,0.109243697478992,7494.14943469545,0.000211949997715699,"XD",40,NA,"CS"
"eCW7EtgAAAAJ","SCOTT T DOUGAN ","BIO",18,19,1988,2016,24,3205,839,12.666,5.542,0,0,0,0,1985,99,1,98,0.126760563380282,0,6.97282005556316e-05,"BIO",42,NA,"BIO"
"EDC2EP0AAAAJ","JANYCE M WIEBE ","CS",49,97,1986,2016,119,14025,2493,1.93,3.504,7,1715063,0,0,1985,162,6,156,0.174603174603175,1218.01054126717,0.000196895374888598,"CS",52,NA,"CS"
"edQgLXcAAAAJ","MATTHEW EDMUND TAYLOR ","CS",24,50,1997,2016,95,2421,494,1.533,4.042,11,1934302,0,0,1995,175,7,168,0.0917431192660551,1283.9590660729,0.000187539780176887,"CS",70,NA,"CS"
"Edw0tIYAAAAJ","PRACHI SINGH ","BIO",14,15,2007,2016,32,619,116,8.229,8.313,0,0,0,0,2005,8,0,8,0,0,0,"BIO",38,NA,"BIO"
"ee5pjPsAAAAJ","SUZANNE E MCGAUGH ","BIO",11,12,2008,2015,18,458,152,4.027,7.944,0,0,0,0,2005,285,4,281,0.318965517241379,959.229629029534,0.000169103592632862,"BIO",34,NA,"BIO"
"EeGvHIoAAAAJ","RON DO ","BIO",28,36,2006,2017,43,8385,1059,20.638,41.721,0,0,0,0,2005,718,7,711,0.299902629016553,422.486074384104,0.000197082265644016,"BIO",42,NA,"BIO"
"eegYQdMAAAAJ","DAVID JORDAN FREEDMAN ","BIO",17,25,2001,2016,27,3434,847,14.317,3.741,4,967542,19,4398738,2000,50,1,49,0.232558139534884,0,0.000126741608420535,"BIO",14,NA,"BIO"
"EetL2HQAAAAJ","RANCE CLEAVELAND ","CS",43,95,1988,2016,130,5864,783,1.828,3.069,0,0,0,0,1985,199,4,195,0.10077519379845,143.715405502293,0.000119196552932846,"CS",15,NA,"CS"
"eEYPTKUAAAAJ","ROBERTO TAMASSIA ","CS",68,231,1983,2016,247,13453,1147,1.071,3.158,15,5414840,0,0,1980,229,18,211,0.0645161290322581,9235.30209451359,0.000403965342273115,"CS",20,NA,"CS"
"EFCJtEwAAAAJ","SUSAN RAE HOHENBERGER ","CS",32,48,2003,2015,53,5183,1065,1.05,3.019,5,1150295,0,0,2000,85,11,74,0.0444444444444444,1089.91402024849,0.000239126059014167,"CS",28,NA,"CS"
"EFD4OrIAAAAJ","YANG CAO ","CS",22,42,2000,2015,89,3940,461,3.091,4.079,7,1760388,0,0,1995,516,13,503,0.582644628099174,14059.9577168071,0.000400493489940094,"XD",40,NA,"CS"
"EFEC_toAAAAJ","BRUCE G BUCHANAN ","CS",55,133,1969,2012,159,11566,1464,3.986,4.176,11,2540705,0,0,1965,246,7,239,0.347280334728033,2503.30611255536,0.000191171749628454,"XD",52,1975,"XD"
"EFlfpXQAAAAJ","JOHN T LEHMAN ","BIO",33,71,1975,2015,78,3816,340,3.316,2.167,9,2564776,0,0,1975,37,0,37,0.0178571428571429,0,0,"BIO",19,NA,"BIO"
"EfuT9RoAAAAJ","ELISA BERTINO ","CS",88,487,1981,2017,806,30485,1009,1.666,3.565,11,4378937,0,0,1980,683,38,645,0.105348460291734,57973.8813016074,0.000830406648101339,"XD",20,2006,"CS"
"EFVX84sAAAAJ","KENNETH R BROWN ","CS",23,41,1997,2016,60,1791,201,4.061,5.167,19,7159220,4,1500920,1995,108,5,103,0.0632911392405063,1009.93587869683,0.000178618266394864,"CS",9,NA,"CS"
"eFyzZ8wAAAAJ","LAURA RAE MCCABE ","BIO",37,58,1994,2016,74,3849,437,4.144,4.905,2,1319051,0,0,1990,297,1,296,0.111801242236025,0,0.000117056189511594,"BIO",50,NA,"BIO"
"EggUEWgAAAAJ","BOZHI TIAN ","BIO",47,63,2001,2016,77,10937,2435,11.214,6.844,1,189949,1,0,2000,323,2,321,0.277777777777778,164.57998428026,0.000140102055260799,"XD",14,NA,"BIO"
"EGnp1r8AAAAJ","JEFF GELLES ","BIO",38,56,1978,2016,72,7638,1154,11.943,4.472,0,0,38,12013876,1975,197,5,192,0.109489051094891,1109.93664518847,0.000196917058826238,"BIO",55,NA,"BIO"
"eHhHOD0AAAAJ","GORDON S NOVAK ","CS",15,16,1977,2012,26,586,141,1.736,1.5,0,0,0,0,1975,2,0,2,0.0909090909090909,0,0,"CS",9,NA,"CS"
"EhRzLhQAAAAJ","STEPHEN CHECKOWAY ","CS",11,11,2009,2016,16,1879,682,0.53,5.563,2,374413,0,0,2005,105,14,91,0.0350877192982456,1001.19121179104,0.000295861705353547,"CS",60,NA,"CS"
"EIgDkCUAAAAJ","ALEXANDER V BADYAEV ","BIO",47,93,1994,2016,96,5473,269,3.563,2.823,5,1669759,0,0,1990,62,4,58,0.0666666666666667,690.833949724271,0.000166046763255352,"BIO",38,NA,"BIO"
"eiqD0hoAAAAJ","BRIAN P BAILEY ","CS",35,56,1994,2016,92,4403,439,1.482,3.163,7,3532560,0,0,1990,221,10,211,0.094017094017094,2285.41779677078,0.000249213610164572,"CS",5,NA,"CS"
"EiXpVxwAAAAJ","ROSS TATE ","CS",7,7,2009,2016,9,216,98,0.488,2.889,4,258787,0,0,2005,42,2,40,0.0769230769230769,0,8.09014205186136e-05,"CS",6,NA,"CS"
"eIYoeT4AAAAJ","CLAYTON H LEWIS ","CS",38,70,1973,2016,99,9463,2063,2.424,3.384,16,12139990,0,0,1970,162,6,156,0.0779220779220779,931.377770544071,0.000176472172683799,"CS",40,NA,"CS"
"EJ-cby0AAAAJ","RACHELLE GAUDET ","BIO",32,45,1996,2016,48,4221,1047,10.309,9.813,0,0,22,1715318,1995,682,11,671,0.64850136239782,12467.8161881593,0.000321386898184122,"XD",1,2007,"BIO"
"eJ5nA0kAAAAJ","INJONG RHEE ","CS",40,80,1992,2016,118,10191,1335,1.676,3.763,5,2595763,0,0,1990,293,9,284,0.112676056338028,3844.86194813636,0.000271206826549409,"CS",48,NA,"CS"
"ejAySV8AAAAJ","JONATHAN D MARCOT ","BIO",10,10,1997,2016,16,297,58,3.691,3.5,1,85477,0,0,1995,47,2,45,0.0217391304347826,74.5233466580014,0.000117729232186399,"BIO",30,NA,"BIO"
"EjkAuCoAAAAJ","SONI M LACEFIELD ","BIO",7,6,1996,2016,13,292,118,12.122,3.385,0,0,3,545144,1995,32,2,30,0.136363636363636,1122.0600598988,9.19171452376886e-05,"XD",34,2014,"BIO"
"ejoWKqsAAAAJ","NICHOLAS P TATONETTI ","BIO",19,27,2010,2016,58,1249,192,7.043,7.81,0,0,4,996266,2010,464,7,457,0.299610894941634,1393.10258977984,0.000189131474199179,"BIO",14,NA,"BIO"
"ejR8Xx0AAAAJ","CHRISTOPHER J STAIGER ","BIO",54,89,1986,2016,94,6445,345,6.127,5.202,4,3188413,0,0,1990,263,4,259,0.0893617021276596,334.997765430988,0.000165535565147828,"BIO",55,NA,"BIO"
"elAHayUAAAAJ","KURT E ANDERSON ","BIO",13,17,1998,2015,26,1152,667,4.4,4.154,10,3483076,0,0,1995,119,4,115,0.385714285714286,915.674068469883,0.000138512183929668,"XD",68,NA,"BIO"
"eLll3xoAAAAJ","MELEAH A HICKMAN ","BIO",7,7,2007,2016,10,298,108,11.181,4.3,0,0,0,0,2005,42,1,41,0.217391304347826,0,6.63690151888261e-05,"BIO",30,NA,"BIO"
"ElqwScwAAAAJ","GEORGE KARYPIS ","CS",81,206,1993,2016,248,44174,6027,2.915,3.335,12,7345040,4,1174250,1990,369,7,362,0.172549019607843,280.033517448443,0.00019078490582388,"CS",29,NA,"CS"
"ElTNdUwAAAAJ","ANGELIQUE F BORDEY ","BIO",37,70,1994,2016,82,4050,335,5.049,4.671,0,0,31,8799709,1990,130,0,130,0.0714285714285714,0,0,"BIO",7,NA,"BIO"
"eMc-6hoAAAAJ","IAN M EHRENREICH ","BIO",15,18,2005,2016,24,1446,284,10.699,4.25,1,159126,0,0,2005,112,4,108,0.244897959183673,872.982459321388,0.000147738554915732,"BIO",55,NA,"BIO"
"EmD8988AAAAJ","CHUNLEI WU ","BIO",23,28,2001,2016,34,3107,913,8.301,8.353,0,0,3,488736,2000,619,4,615,0.337962962962963,579.071990732503,0.000140658812963385,"XD",9,2004,"BIO"
"EmLddhQAAAAJ","DAVID P CREWS ","BIO",74,327,1973,2017,359,16913,512,4.655,3.279,7,2079883,0,0,1970,268,6,262,0.0493273542600897,5229.97104244686,0.000222676026317182,"BIO",30,NA,"BIO"
"eMs1ptMAAAAJ","LARS MICHAEL STEINMETZ ","BIO",45,90,1998,2016,109,11809,2390,14.233,9.128,0,0,0,0,1995,564,11,553,0.324626865671642,4251.419507687,0.000281317094031712,"XD",1,2012,"BIO"
"EmY0Q7oAAAAJ","MATTHEW BLAKE GREENBLATT ","BIO",15,18,2004,2016,22,2024,1167,10.576,10.273,0,0,2,372586,2000,215,3,212,0.319672131147541,357.651431953983,0.000119449528031484,"XD",26,2014,"BIO"
"EnCwNycAAAAJ","ARVIND KRISHNAMURTHY ","CS",54,113,1993,2016,144,10868,882,1.27,5.486,18,7657802,0,0,1990,638,44,594,0.154135338345865,41506.9451635035,0.000896264871726764,"CS",6,NA,"CS"
"EnEiF7oAAAAJ","RYAN WILLIAMS ","CS",25,45,2000,2017,70,3148,830,0.736,2.071,8,5400217,1,4265,2000,156,11,145,0.11864406779661,5465.96656415497,0.000321207677631111,"CS",1,NA,"CS"
"enjXdH4AAAAJ","ILYA M NEMENMAN ","BIO",24,39,1999,2016,64,4001,1480,4.977,3.797,5,2431125,0,0,1995,175,5,170,0.184466019417476,4576.93105815859,0.000213011030328305,"BIO",30,NA,"BIO"
"enSDeE8AAAAJ","BIN GAO ","BIO",43,97,1999,2017,142,6264,502,4.19,5.796,3,832014,33,16742894,1995,607,12,595,0.294915254237288,26998.1912403813,0.000446077078981225,"XD",55,2011,"BIO"
"ENTGDS8AAAAJ","ROBERT L MINCKLEY ","BIO",21,32,1988,2016,42,2757,765,2.305,4.357,0,0,0,0,1985,113,5,108,0.0853658536585366,489.396895094331,0.000191799242803607,"BIO",68,NA,"BIO"
"eoRn6NkAAAAJ","DONGYOON LEE ","CS",8,7,2009,2016,13,450,146,0.822,4.769,1,428720,0,0,2005,76,3,73,0.0416666666666667,114.175407158195,0.000111578863571229,"CS",40,NA,"CS"
"ePiPQ2cAAAAJ","ERIK BLAINE SUDDERTH ","CS",27,49,1998,2016,66,3957,627,3.565,3.667,0,0,0,0,1995,212,11,201,0.307692307692308,2986.31510560667,0.000273840038555881,"CS",20,NA,"CS"
"eq4egiwAAAAJ","TEVFIK BULTAN ","CS",38,91,1991,2016,133,5130,813,1.208,3.263,10,3687691,0,0,1990,269,18,251,0.106382978723404,6319.58678249836,0.000407649879452569,"CS",34,NA,"CS"
"eQ8KEHoAAAAJ","NIR YOSEF ","CS",25,32,2006,2016,46,4018,426,17.878,11.522,0,0,0,0,2005,486,8,478,0.666666666666667,944.933140296289,0.000220900568568022,"XD",1,2011,"CS"
"EqetexsAAAAJ","DAVID JURIS KRIEGMAN ","CS",59,137,1985,2016,162,34589,12106,3.892,4.086,16,19865931,2,57349,1985,390,17,373,0.195454545454545,4411.32501224081,0.000377383306621288,"CS",15,NA,"CS"
"eQUn8ugAAAAJ","TORSTEN SUEL ","CS",40,71,1992,2014,90,6173,443,2.003,3.256,5,4204051,0,0,1990,294,8,286,0.113207547169811,2156.7523009064,0.000206519351068801,"CS",70,NA,"CS"
"Er-gEaoAAAAJ","JOHN HENRY REIF ","CS",67,215,1977,2016,296,17680,1445,3.587,2.625,25,15882294,0,0,1975,303,12,291,0.19375,13634.0374052266,0.000340527716360285,"CS",25,NA,"CS"
"ERUd22YAAAAJ","DANIEL F JAROSZ ","BIO",15,17,2006,2016,18,1118,221,18.055,5.333,0,0,0,0,2005,106,0,106,0.232558139534884,0,0,"BIO",1,NA,"BIO"
"Es-YRKMAAAAJ","ALAN WILSON BLACK ","CS",59,160,1984,2017,226,10334,1284,1.309,4.058,11,7439685,0,0,1980,200,10,190,0.0963455149501661,2746.35436723115,0.000254355561869472,"XD",1,2006,"CS"
"Es6jE1kAAAAJ","VENKATESAN GURUSWAMI ","CS",41,109,1998,2017,177,6550,1117,1.103,2.384,11,3211924,0,0,1995,275,24,251,0.0943396226415094,10534.5019244197,0.000504206199697532,"CS",1,NA,"CS"
"ESfeLxQAAAAJ","YUHONG FAN ","BIO",20,24,2001,2016,29,2798,396,8.825,9.172,0,0,6,1985972,2000,242,2,240,0.0860215053763441,129.807552804138,0.000110215156154065,"BIO",55,NA,"BIO"
"esFM64IAAAAJ","ALPER UZUN ","BIO",13,15,2006,2016,27,565,84,7.431,4.148,0,0,1,0,2005,14,0,14,0.0476190476190476,0,0,"BIO",68,NA,"BIO"
"eslOPdYAAAAJ","KELLY R ZAMUDIO ","BIO",35,85,1992,2016,121,4666,303,4.384,4.942,20,5161602,0,0,1990,267,10,257,0.0481099656357388,3787.40942075715,0.0003474985490378,"BIO",11,NA,"BIO"
"EsMQds4AAAAJ","PEDRAM MOHSENI ","CS",16,21,2001,2016,56,1180,224,2.784,4.161,2,1096416,6,829225,2000,36,2,34,0.158730158730159,352.677797650413,0.000128930731004341,"CS",70,NA,"CS"
"esPRxUoAAAAJ","LAWREN SACK ","BIO",45,91,1994,2017,112,6928,730,5.407,6.714,8,6606684,0,0,1990,400,11,389,0.0796296296296296,6189.02913443497,0.000379865503535613,"BIO",19,NA,"BIO"
"eSYDGdsAAAAJ","PHILLIP EC COMPEAU ","CS",5,4,2010,2015,8,300,259,12.144,2.125,0,0,0,0,2010,6,1,5,0.285714285714286,0,6.20044305484257e-05,"CS",1,NA,"CS"
"eT0-xbEAAAAJ","SHU-DAN YEH ","BIO",5,4,2005,2014,9,493,351,15.774,6.333,0,0,0,0,2005,33,4,29,0.108108108108108,139.263103042953,0.000136734416422858,"BIO",34,NA,"BIO"
"eT3qle0AAAAJ","PETER C HOLLENHORST ","BIO",13,15,2000,2015,15,1262,244,7.999,5.267,0,0,0,0,2000,47,0,47,0.13953488372093,0,0,"BIO",34,NA,"BIO"
"eTD7Em8AAAAJ","RAJ RAO NADAKUDITI ","CS",15,18,2001,2016,41,953,168,2.42,2.366,0,0,0,0,2000,36,2,34,0.115384615384615,177.866462509209,9.86934047790753e-05,"CS",13,NA,"CS"
"EtRpNRAAAAAJ","DANIEL HOWARD COHN ","BIO",51,124,1980,2016,158,8350,532,9.277,8.873,0,0,0,0,1980,361,6,355,0.112426035502959,5875.04148485266,0.00018820465492767,"XD",19,NA,"BIO"
"eu7wk3kAAAAJ","YANZHUANG WANG ","BIO",22,30,1995,2016,35,1859,317,6.216,4.914,0,0,10,2602718,1995,231,4,227,0.5,0,0.000150362990283585,"XD",19,NA,"BIO"
"eUgyFekAAAAJ","PATRICK EICHENBERGER ","BIO",22,30,1996,2016,35,2596,389,5.106,6.714,0,0,5,1463250,1995,180,5,175,0.13953488372093,2224.04351032377,0.000200712365259652,"BIO",68,NA,"BIO"
"EUMYhUvzt6IC","RAMAKANT NEVATIA ","CS",72,200,1973,2015,177,15173,926,4.072,2.565,0,0,0,0,1970,247,2,245,0.142857142857143,0,7.85883234139797e-05,"CS",20,NA,"CS"
"Evgx6UkAAAAJ","ALEXANDR ANDONI ","CS",22,33,2003,2017,49,2710,1609,0.897,3.082,1,0,0,0,2000,265,8,257,0.0983606557377049,817.120027586665,0.000193615756151465,"CS",15,NA,"CS"
"Evt-0DUAAAAJ","LISA A DONOVAN ","BIO",42,74,1984,2016,97,5754,831,3.921,4.247,11,2874722,0,0,1980,150,8,142,0.0261780104712042,2984.61953734039,0.000263996654489821,"BIO",42,NA,"BIO"
"EvWHHJMAAAAJ","MICHAEL AD GOODISMAN ","BIO",25,48,1997,2016,62,2222,278,5.884,10.274,10,2329440,0,0,1995,493,14,479,0.229934924078091,14025.3334460531,0.000401696173715556,"XD",55,2015,"BIO"
"EwnzYGUAAAAJ","ERIC WILLIAM SEABLOOM ","BIO",48,98,1994,2016,113,9509,1615,8.693,12.115,11,6597254,0,0,1990,408,21,387,0.218508997429306,16696.388224114,0.000585388431820962,"XD",34,2011,"BIO"
"ex9BQiIAAAAJ","CLAIRE CARDIE ","CS",53,105,1990,2016,124,12490,1939,1.855,3.395,11,8360276,0,0,1990,230,13,217,0.143835616438356,7598.84903897285,0.000350749138667064,"CS",6,NA,"CS"
"ExEEjcQAAAAJ","MATTHEW K FARRENS ","CS",19,25,1986,2016,53,1298,236,0.815,3.528,0,0,0,0,1985,50,5,45,0.0416666666666667,228.631604707244,0.000147309226604451,"CS",34,NA,"CS"
"eXKdSu0AAAAJ","YANJUN QI ","CS",22,30,2002,2016,55,1954,310,5.19,4.964,4,344004,0,0,2000,450,22,428,0.492857142857143,22583.2619742356,0.000511060054971059,"XD",29,2008,"CS"
"ExyBO8AAAAAJ","AMIR MORTAZAWI ","CS",32,84,1988,2016,158,3040,258,1.965,3.43,10,2761646,0,0,1985,70,4,66,0.079646017699115,45.1847650189278,0.000158204588602501,"CS",13,NA,"CS"
"exyen9EAAAAJ","MICHAEL SAMUEL ROSENBERG ","BIO",34,45,1997,2015,54,5709,771,5.133,3.833,3,1597462,4,741672,1995,198,2,196,0.21551724137931,96.8869951808528,9.40387985733232e-05,"BIO",55,NA,"BIO"
"ey960FIAAAAJ","BENJAMIN M MARLIN ","CS",21,28,2002,2016,40,1569,305,3.167,4.425,4,1764036,0,0,2000,206,6,200,0.193181818181818,0,0.000150981588071003,"CS",25,NA,"CS"
"eyq1L0gAAAAJ","NING QIAN ","BIO",30,48,1988,2015,57,5020,1323,3.991,2.561,1,324978,10,2604132,1985,130,1,129,0.4,0,6.9142165927712e-05,"XD",14,1989,"XD"
"eytkhI0AAAAJ","REBECCA LORENZ PETERSON ","CS",20,35,2001,2016,68,1551,473,5.391,4.529,3,175000,0,0,2000,157,5,152,0.116182572614108,1993.25750451773,0.000183691358336921,"CS",13,NA,"CS"
"EyUdMn0AAAAJ","JOHN NORTON THOMPSON ","BIO",70,135,1977,2016,123,12848,914,7.63,2.602,46,29168972,10,1778156,1975,221,4,217,0.0840336134453782,837.896724461705,0.000150682089921778,"BIO",55,NA,"BIO"
"EZk2dkwAAAAJ","CHARLES E LINN ","BIO",37,82,1981,2016,98,4319,288,3.667,4.796,0,0,0,0,1980,64,3,61,0.0487804878048781,7733,0.00031448121256526,"BIO",11,NA,"BIO"
"EZQycM0AAAAJ","CHANG MIN LEE ","BIO",31,51,2004,2016,65,2469,208,4.268,11.369,0,0,0,0,2000,153,1,152,0.11336032388664,0,7.69386300140314e-05,"BIO",34,NA,"BIO"
"eZr-ai0AAAAJ","SETH COOPER ","CS",15,17,2006,2016,20,3480,841,13.409,10.55,3,1813295,0,0,2005,131,11,120,0.713178294573643,4946.76700276889,0.00032588678646814,"XD",60,2011,"CS"
"Ezrt3pkAAAAJ","MAURICE P HERLIHY ","CS",59,167,1982,2016,230,19313,2491,1.202,2.791,12,3972582,0,0,1980,275,5,270,0.0671641791044776,885.52865006228,0.000161759882121617,"CS",20,NA,"CS"
"ezVN9NUAAAAJ","YASUKO RIKIHISA ","BIO",60,224,1976,2016,275,13377,1525,3.752,4.08,0,0,40,14222274,1975,288,3,285,0.16497461928934,834.151238950798,0.000113076282005364,"XD",42,2011,"BIO"
"F--iDiMAAAAJ","XIMENA E BERNAL ","BIO",13,14,1999,2016,30,541,83,2.366,3.4,2,677075,0,0,1995,50,3,47,0.111111111111111,45.6583147191103,0.000126437165646574,"BIO",55,NA,"BIO"
"f-Ix2REAAAAJ","AARON R DINNER ","BIO",40,81,1994,2016,111,8498,3445,7.87,5.667,2,863497,1,0,1990,438,15,423,0.324921135646688,19670.7819892871,0.000500718982064318,"XD",14,2008,"BIO"
"F-MEiNAAAAAJ","MAREK MLODZIK ","BIO",64,123,1985,2016,133,11284,714,10.521,4.541,0,0,71,20662875,1985,329,4,325,0.120141342756184,1804.33342846596,0.000164142424741574,"BIO",42,NA,"BIO"
"F-UtakEAAAAJ","VIDU GARG ","BIO",22,34,1999,2016,50,3910,938,8.82,9.14,0,0,20,5693473,1995,316,5,311,0.386363636363636,636.908592596252,0.000167316807919691,"XD",42,2013,"BIO"
"f-wp99AAAAAJ","FENGBO REN ","CS",9,9,2010,2016,22,296,60,4.199,4.318,1,0,0,0,2010,127,2,125,0.285714285714286,0,9.82261184893112e-05,"CS",48,NA,"CS"
"f0NoTC0AAAAJ","CHRISTOPHER KRUEGEL ","CS",77,173,1999,2016,209,20892,684,1.571,4.9,8,4630040,0,0,1995,246,26,220,0.0632911392405063,10346.5633636318,0.000542373265972994,"CS",34,NA,"CS"
"F0vOTLQAAAAJ","MARCUS BUSTAMANTE SMOLKA ","BIO",23,29,1998,2017,46,2298,314,7.512,6.283,0,0,6,1063156,1995,219,6,213,0.266666666666667,3189.45123514696,0.00021199352866282,"XD",11,2008,"BIO"
"f28F1YUAAAAJ","JOYDEEP BISWAS ","CS",14,17,2008,2017,27,788,182,2.546,3.778,0,0,0,0,2005,37,1,36,0.0285714285714286,0,6.02907965162554e-05,"CS",25,NA,"CS"
"F2cBeqkAAAAJ","STEPHEN MILES GATESY ","BIO",29,42,1989,2016,56,2486,210,6.121,2.821,12,2620011,0,0,1985,90,4,86,0.282608695652174,891.416754706962,0.000167509846938663,"XD",34,2008,"BIO"
"f3GIS0QAAAAJ","ESTEBAN FERNANDEZ-JURICIC ","BIO",42,106,1998,2016,122,5091,316,2.837,3.877,4,670037,1,72108,1995,91,3,88,0.0609137055837563,4345.32211479889,0.000175793258620181,"BIO",55,NA,"BIO"
"f4eLuf8AAAAJ","ANTON F POST ","BIO",41,77,1980,2016,108,5798,907,4.674,5.519,2,321158,0,0,1980,344,9,335,0.113846153846154,4512.82991959166,0.000325885194561657,"BIO",34,NA,"BIO"
"F4tTgLQAAAAJ","YALIN WANG ","CS",28,69,2000,2016,116,3179,447,4.376,6.31,2,576708,5,547120,2000,429,6,423,0.834983498349835,1331.89629980187,0.000181517223271322,"XD",48,2010,"CS"
"F4v_MEIAAAAJ","J DOUGLAS BIRDWELL ","CS",18,44,1977,2014,102,1196,73,2.262,3.608,0,0,0,0,1975,44,0,44,0.0947368421052632,0,0,"CS",70,NA,"CS"
"f4W-y6AAAAAJ","S SELCEN GUZEY ","BIO",6,4,2009,2016,19,256,178,1.202,3.684,0,0,0,0,2005,3,0,3,0.0357142857142857,0,0,"BIO",55,NA,"BIO"
"f5CUbRIAAAAJ","ARUNAVA BANERJEE ","CS",18,30,1991,2015,50,809,132,3.764,2.94,2,316886,0,0,1990,139,3,136,0.418604651162791,179.408933214061,0.000130534384922336,"XD",48,2013,"CS"
"f6JF7BkAAAAJ","SHACHAR LOVETT ","CS",17,32,2008,2017,71,1081,170,0.962,2.507,2,93603,0,0,2005,155,9,146,0.0882352941176471,307.40334747253,0.00022140621285711,"CS",15,NA,"CS"
"F6LzqwMAAAAJ","WILLIAM LOUIS SCHERLIS ","CS",25,40,1970,2014,61,6726,4773,2.731,3.262,5,1580294,0,0,1970,104,3,101,0.0609756097560976,610.402832149403,0.000111740093555976,"CS",1,NA,"CS"
"f7e4D8cAAAAJ","QIANBEN WANG ","BIO",25,40,2000,2016,42,5008,1110,10.672,10.619,0,0,0,0,2000,489,4,485,0.361788617886179,1672.16943612948,0.000128099748677959,"XD",42,2006,"BIO"
"f7laURkAAAAJ","EDWARD K WONG ","CS",17,26,1986,2015,47,1097,170,2.515,3.043,3,1215304,3,4156,1990,87,2,85,0.244444444444444,57.5269863981717,9.10167691908206e-05,"CS",70,NA,"CS"
"f8FjAtMAAAAJ","CARLO ZANIOLO ","CS",56,152,1972,2016,221,9023,442,1.305,2.801,10,3001103,0,0,1970,202,8,194,0.0634920634920635,5607.50676298192,0.000216786570723164,"CS",13,NA,"CS"
"F9JBkRQAAAAJ","CHUNG-HUI YANG ","BIO",12,14,1997,2016,20,1293,302,12.586,4.45,0,0,0,0,1995,124,0,124,0.194444444444444,0,0,"BIO",11,NA,"BIO"
"F9kqUXkAAAAJ","PHILLIP B GIBBONS ","CS",65,151,1987,2016,186,16498,1543,1.168,4.414,1,777400,0,0,1985,577,22,555,0.147208121827411,8080.34510373025,0.000468778947440154,"CS",1,NA,"CS"
"FA3SUH4AAAAJ","TAKANARI INOUE ","BIO",23,30,1999,2017,41,2765,512,11.796,5.805,0,0,0,0,1980,217,6,211,0.142857142857143,378.353304294911,0.000221937473595446,"BIO",5,NA,"BIO"
"fABXPQQAAAAJ","BRIAN DORSEY FARRELL ","BIO",40,55,1988,2015,58,5525,642,4.767,3.328,17,6766600,0,0,1985,67,0,67,0.0128205128205128,0,0,"BIO",1,NA,"BIO"
"FaGbxW0AAAAJ","HAOQI ZHANG ","CS",16,17,2004,2015,28,730,156,2.66,4.929,4,135894,0,0,2000,188,10,178,0.163636363636364,1192.83442957702,0.000236506471492227,"CS",34,NA,"CS"
"FANRIhwAAAAJ","MANOJ M PRABHAKARAN ","CS",25,42,2000,2016,64,2789,327,1.534,3.5,3,1423802,0,0,2000,135,9,126,0.0344827586206897,1795.06034343288,0.000207283123616552,"CS",5,NA,"CS"
"fasXmPQAAAAJ","NEELAM SOUNDARAJAN ","CS",16,23,1996,2015,56,568,91,2.62,2.196,2,784135,0,0,1995,29,0,29,0.0869565217391304,0,0,"CS",34,NA,"CS"
"fAw_t5EAAAAJ","ROGER DEAN CHAMBERLAIN ","CS",29,73,1986,2016,173,2389,123,1.251,3.734,15,6348783,0,0,1985,223,6,217,0.131782945736434,621.629764608937,0.000188425204203563,"CS",40,NA,"CS"
"FaY_RgsAAAAJ","CRISTINA V LOPES ","CS",42,94,1993,2016,150,13976,9098,2,3.807,8,6820746,0,0,1990,161,11,150,0.0636942675159236,6148.27702981913,0.000310803433596085,"CS",29,NA,"CS"
"fcQXfZIAAAAJ","SARA K MCMILLAN ","BIO",6,6,2001,2016,12,198,114,2.646,3.917,1,391341,0,0,2000,14,2,12,0.0416666666666667,0,0.000101323989259927,"BIO",55,NA,"BIO"
"fDdcWBEAAAAJ","ARIE KAUFMAN ","CS",74,235,1974,2016,241,11460,600,1.525,3.423,18,7433504,0,0,1970,554,5,549,0.228155339805825,1445.49941906364,0.00016126175110143,"CS",40,NA,"CS"
"FDu4ciwAAAAJ","JACOB DUNCAN ABERNETHY ","CS",19,26,2004,2015,47,1297,199,2.096,3.085,3,1046363,0,0,2000,98,6,92,0.0909090909090909,720.623328769606,0.000178430467837026,"CS",13,NA,"CS"
"fe5GDukAAAAJ","JOHN M BURKE ","BIO",42,64,1996,2016,79,5344,443,5.802,5.582,5,3570701,22,8073006,1995,240,10,230,0.13302752293578,2669.45792976466,0.000325769138018615,"BIO",42,NA,"BIO"
